object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
DHW Tank,6600,HR,6625,1,25,Exclude from vacation,R/W,val_u1,YES,YES,YES,Do not allow the Vacation mode
DHW Tank,6600,HR,6626,1,26,Exclude from standby,R/W,val_u1,YES,YES,YES,Do not allow the Standby mode
Sentio ITC1,7300,DI,7301,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in ITC
Sentio ITC1,7300,DI,7302,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in ITC
Sentio ITC1,7300,DI,7303,1,3,Error - Inlet Sensor Failure,R,,YES,YES,YES,Missing or broken sensor
Sentio ITC1,7300,DI,7304,1,4,Error - Servo Failure,R,,YES,YES,YES,Missing or broken servo
Sentio ITC1,7300,DI,7305,1,5,Error - Return Sensor Failure,R,,YES,YES,YES,Missing or broken sensor
Sentio ITC1,7300,DI,7306,1,6,Error - Outdoor Sensor Failure,R,,YES,YES,YES,Missing or broken sensor
Sentio ITC1,7300,DI,7307,1,7,Error - High temp cut-off activated,R,,YES,YES,YES,"Safety mechanism ""high temp cut-off"" is activated"
Sentio ITC1,7300,DI,7308,1,8,Error - Frost protection activated,R,,YES,YES,YES,"Safety mechanism ""frost protection"" is activated"
Sentio ITC1,7300,IR,7301,1,1,State,R,val_u1,YES,YES,YES,1 IDLE 2 HEATING 3 COOLING 4 BLOCKED_HEATING 5 BLOCKED_COOLING
Sentio ITC1,7300,IR,7302,1,2,Blocking source,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
Sentio ITC1,7300,IR,7303,1,3,Pump - Demand,R,val_u1,YES,YES,YES,1 IDLE 2 ON
Sentio ITC1,7300,IR,7304,1,4,Pump - State,R,val_u1,YES,YES,YES,1 IDLE 2 ON
Sentio ITC1,7300,IR,7305,1,5,Measured inlet temperature,R,val_d2_fp100,YES,YES,YES,Measured temperature of the inlet heating/cooling water.
Sentio ITC1,7300,IR,7306,1,6,Desired inlet temperature,R,val_d2_fp100,YES,YES,YES,Desired temperature of the inlet heating/cooling water. The value which the ITC regulator wants to meet.
Sentio ITC1,7300,IR,7307,1,7,Measured return temperature,R,val_d2_fp100,YES,YES,YES,Measured return temperature
Sentio ITC1,7300,IR,7308,1,8,Main supplier temperature,R,val_d2_fp100,YES,YES,YES,Main supplier temperature
Sentio ITC1,7300,IR,7309,1,9,Servo position request [%],R,val_d2_fp100,-,YES,YES,Servo position request in percent
Sentio ITC1,7300,IR,7310,1,10,Desired room temperature by consumers,R,val_d2_fp100,-,-,YES,Desired room temperature by consumers
Sentio ITC1,7300,HR,7301,16,1,Name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Sentio ITC1,7300,HR,7317,1,17,Regulator - P value,R/W,val_d2_fp10,YES,YES,YES,Proportional gain of temperature regulator
Sentio ITC1,7300,HR,7318,1,18,Regulator - I value,R/W,val_u2,YES,YES,YES,Integrating time of temperature regulator
Sentio ITC1,7300,HR,7319,1,19,Regulator - Hysteresis,R/W,val_d2_fp100,YES,YES,YES,Hysteresis
Sentio ITC1,7300,HR,7320,1,20,Heat curve - type,R/W,val_u1,YES,YES,YES,0 MANUAL 1 CALCULATED 2 UNDERFLOOR 3 RADIATORS
Sentio ITC1,7300,HR,7321,1,21,Heat curve - manual slope,R/W,val_d2_fp10,YES,YES,YES,Curve slope. Used only in MANUAL
